id,homeTeam,homeTeamImage,awayTeam,awayTeamImage,scoreHome,scoreAway,pointsHome,pointsAway,referee,stadium,capacity,public,date,time,country,round
YuLWCzW6,Flamengo,https://static.flashscore.com/res/image/data/ADvIaiZA-2R2JjDQC.png,Corinthians,https://static.flashscore.com/res/image/data/lY91WW9r-Sv3m8l2G.png,1,0,3,0,Wilton Sampaio (Bra),Maracanã (Rio de Janeiro),78838.0,47052.0,02/10/2024,21:45,BRASIL,TAÇA BETANO DO BRASIL - SEMIFINAIS
Yc465zvm,Atlético-MG,https://static.flashscore.com/res/image/data/WbSJHDh5-pCk2vaSD.png,Vasco,https://static.flashscore.com/res/image/data/d2irXNjl-bam8o1Nj.png,2,1,3,0,Flávio Rodrigues de Souza (Bra),Arena MRV (Belo Horizonte),47465.0,42039.0,02/10/2024,19:15,BRASIL,TAÇA BETANO DO BRASIL - SEMIFINAIS
Yolc1Rvg,Atlético-MG,https://static.flashscore.com/res/image/data/WbSJHDh5-pCk2vaSD.png,São Paulo,https://static.flashscore.com/res/image/data/YgK3qNCa-UPn7aGHL.png,0,0,1,1,R. Abatti Abel (Bra),Arena MRV (Belo Horizonte),47465.0,41552.0,12/09/2024,21:45,BRASIL,TAÇA BETANO DO BRASIL - QUARTAS DE FINAL
neFvqpPO,Flamengo,https://static.flashscore.com/res/image/data/ADvIaiZA-2R2JjDQC.png,Bahia,https://static.flashscore.com/res/image/data/f5V5z1Cr-dKUmd286.png,1,0,3,0,da Silva Machado B. (Bra),Maracanã (Rio de Janeiro),78838.0,78387.0,12/09/2024,21:45,BRASIL,TAÇA BETANO DO BRASIL - QUARTAS DE FINAL
CCH5cqvI,Athletico-PR,https://static.flashscore.com/res/image/data/SdnmINcM-QaMaOfUh.png,Vasco,https://static.flashscore.com/res/image/data/d2irXNjl-bam8o1Nj.png,2,2,1,1,Wilton Sampaio (Bra),Ligga Arena (Curitiba),42372.0,33188.0,11/09/2024,21:30,BRASIL,TAÇA BETANO DO BRASIL - QUARTAS DE FINAL
OjoOFQgn,Corinthians,https://static.flashscore.com/res/image/data/lY91WW9r-Sv3m8l2G.png,Juventude,https://static.flashscore.com/res/image/data/CA0V6qXg-8r8ETTNO.png,3,1,3,0,Wagner do Nascimento (Bra),Neo Química Arena (São Paulo),49205.0,45199.0,11/09/2024,21:00,BRASIL,TAÇA BETANO DO BRASIL - QUARTAS DE FINAL
KxLDeN8U,Juventude,https://static.flashscore.com/res/image/data/CA0V6qXg-8r8ETTNO.png,Corinthians,https://static.flashscore.com/res/image/data/lY91WW9r-Sv3m8l2G.png,2,1,3,0,P. C. Zanovelli (Bra),Estadio Alfredo Jaconi (Caxias do Sul),19924.0,14117.0,29/08/2024,20:00,BRASIL,TAÇA BETANO DO BRASIL - QUARTAS DE FINAL
6an5a595,Vasco,https://static.flashscore.com/res/image/data/d2irXNjl-bam8o1Nj.png,Athletico-PR,https://static.flashscore.com/res/image/data/SdnmINcM-QaMaOfUh.png,2,1,3,0,R. Abatti Abel (Bra),São Januário (Rio de Janeiro),21880.0,17336.0,29/08/2024,20:00,BRASIL,TAÇA BETANO DO BRASIL - QUARTAS DE FINAL
QuRVp6fC,Bahia,https://static.flashscore.com/res/image/data/f5V5z1Cr-dKUmd286.png,Flamengo,https://static.flashscore.com/res/image/data/ADvIaiZA-2R2JjDQC.png,0,1,0,3,Raphael Claus (Bra),Casa de Apostas Arena Fonte Nova (Salvador),48902.0,46534.0,28/08/2024,21:30,BRASIL,TAÇA BETANO DO BRASIL - QUARTAS DE FINAL
xKfl3mAt,São Paulo,https://static.flashscore.com/res/image/data/YgK3qNCa-UPn7aGHL.png,Atlético-MG,https://static.flashscore.com/res/image/data/WbSJHDh5-pCk2vaSD.png,0,1,0,3,Klein R. (Bra),Estádio do MorumBIS (São Paulo),77011.0,51432.0,28/08/2024,21:30,BRASIL,TAÇA BETANO DO BRASIL - QUARTAS DE FINAL
WELLLNk1,Goiás,https://static.flashscore.com/res/image/data/xd3edbeM-G2OQQubE.png,São Paulo,https://static.flashscore.com/res/image/data/YgK3qNCa-UPn7aGHL.png,0,0,1,1,P. C. Zanovelli (Bra),Estádio da Serrinha (Goiânia),14450.0,7960.0,08/08/2024,20:00,BRASIL,TAÇA BETANO DO BRASIL - OITAVAS DE FINAL
GtKlT5cR,Fluminense,https://static.flashscore.com/res/image/data/WlxJgSdM-WUfDDYk1.png,Juventude,https://static.flashscore.com/res/image/data/CA0V6qXg-8r8ETTNO.png,2,2,1,1,Raphael Claus (Bra),Maracanã (Rio de Janeiro),78838.0,36970.0,07/08/2024,21:30,BRASIL,TAÇA BETANO DO BRASIL - OITAVAS DE FINAL
voSwB6yq,Grêmio,https://static.flashscore.com/res/image/data/QPdJscAr-tQsU6dGl.png,Corinthians,https://static.flashscore.com/res/image/data/lY91WW9r-Sv3m8l2G.png,0,1,0,3,B. Arleu (Bra),Estádio Couto Pereira (Curitiba),40502.0,29409.0,07/08/2024,21:30,BRASIL,TAÇA BETANO DO BRASIL - OITAVAS DE FINAL
