id,homeTeam,homeTeamImage,awayTeam,awayTeamImage,scoreHome,scoreAway,pointsHome,pointsAway,referee,stadium,capacity,public,date,time,country,round
fuuj0V13,Peñarol (Uru),https://static.flashscore.com/res/image/data/8rkcbrGG-nqhLBCKD.png,Flamengo (Bra),https://static.flashscore.com/res/image/data/ADvIaiZA-2R2JjDQC.png,0,0,1,1,Tello F. (Arg),Campeón del Siglo (Montevidéu),40000,38144.0,26/09/2024,19:00,AMÉRICA DO SUL,COPA LIBERTADORES - PLAYOFFS - QUARTAS DE FINAL
W2BjOykn,São Paulo (Bra),https://static.flashscore.com/res/image/data/YgK3qNCa-UPn7aGHL.png,Botafogo (Bra),https://static.flashscore.com/res/image/data/jBDSUABr-rJBthgZj.png,1,2,0,3,Herrera D. (Arg),Estádio do MorumBIS (São Paulo),77011,61329.0,25/09/2024,21:30,AMÉRICA DO SUL,COPA LIBERTADORES - PLAYOFFS - QUARTAS DE FINAL
8bPoRjFE,Atlético-MG (Bra),https://static.flashscore.com/res/image/data/WbSJHDh5-pCk2vaSD.png,Fluminense (Bra),https://static.flashscore.com/res/image/data/WlxJgSdM-WUfDDYk1.png,2,0,3,0,Roldan W. (Col),Arena MRV (Belo Horizonte),47465,43659.0,25/09/2024,19:00,AMÉRICA DO SUL,COPA LIBERTADORES - PLAYOFFS - QUARTAS DE FINAL
r3WtHEIP,River Plate (Arg),https://static.flashscore.com/res/image/data/Ic4xH0Yg-nqhLBCKD.png,Colo Colo (Chi),https://static.flashscore.com/res/image/data/CMCTeMxS-tnwDCzLD.png,1,0,3,0,Matonte Cabrera A. M. (Uru),Estádio Monumental (Buenos Aires),84567,67195.0,24/09/2024,21:30,AMÉRICA DO SUL,COPA LIBERTADORES - PLAYOFFS - QUARTAS DE FINAL
vXd3xS9d,Flamengo (Bra),https://static.flashscore.com/res/image/data/ADvIaiZA-2R2JjDQC.png,Peñarol (Uru),https://static.flashscore.com/res/image/data/8rkcbrGG-nqhLBCKD.png,0,1,0,3,Valenzuela J. (Ven),Maracanã (Rio de Janeiro),78838,64396.0,19/09/2024,19:00,AMÉRICA DO SUL,COPA LIBERTADORES - PLAYOFFS - QUARTAS DE FINAL
tvWt4Y3U,Botafogo (Bra),https://static.flashscore.com/res/image/data/jBDSUABr-rJBthgZj.png,São Paulo (Bra),https://static.flashscore.com/res/image/data/YgK3qNCa-UPn7aGHL.png,0,0,1,1,Ostojich E. (Uru),Estádio Olímpico Nilton Santos (Rio de Janeiro),46931,40089.0,18/09/2024,21:30,AMÉRICA DO SUL,COPA LIBERTADORES - PLAYOFFS - QUARTAS DE FINAL
hjsa3mN7,Fluminense (Bra),https://static.flashscore.com/res/image/data/WlxJgSdM-WUfDDYk1.png,Atlético-MG (Bra),https://static.flashscore.com/res/image/data/WbSJHDh5-pCk2vaSD.png,1,0,3,0,Tello F. (Arg),Maracanã (Rio de Janeiro),78838,54140.0,18/09/2024,19:00,AMÉRICA DO SUL,COPA LIBERTADORES - PLAYOFFS - QUARTAS DE FINAL
0v7d92aJ,Colo Colo (Chi),https://static.flashscore.com/res/image/data/CMCTeMxS-tnwDCzLD.png,River Plate (Arg),https://static.flashscore.com/res/image/data/Ic4xH0Yg-nqhLBCKD.png,1,1,1,1,Raphael Claus (Bra),Estádio Monumental David Arellano (Santiago),47347,40885.0,17/09/2024,21:30,AMÉRICA DO SUL,COPA LIBERTADORES - PLAYOFFS - QUARTAS DE FINAL
hjXGcqEO,Bolivar (Bol),https://static.flashscore.com/res/image/data/GENsXszB-KxxHBfzK.png,Flamengo (Bra),https://static.flashscore.com/res/image/data/ADvIaiZA-2R2JjDQC.png,1,0,3,0,Perez Y. (Arg),Estadio Hernando Siles (La Paz),41143,29168.0,22/08/2024,21:30,AMÉRICA DO SUL,COPA LIBERTADORES - PLAYOFFS - OITAVAS DE FINAL
v5bzo6UI,São Paulo (Bra),https://static.flashscore.com/res/image/data/YgK3qNCa-UPn7aGHL.png,Nacional (Uru),https://static.flashscore.com/res/image/data/WUIDNjFa-pEI2BJMo.png,2,0,3,0,Ospina J. (Col),Estádio do MorumBIS (São Paulo),77011,60032.0,22/08/2024,19:00,AMÉRICA DO SUL,COPA LIBERTADORES - PLAYOFFS - OITAVAS DE FINAL
jqSh3mpm,Palmeiras (Bra),https://static.flashscore.com/res/image/data/xCtpyPHG-ALgHCh57.png,Botafogo (Bra),https://static.flashscore.com/res/image/data/jBDSUABr-rJBthgZj.png,2,2,1,1,Tello F. (Arg),Allianz Parque (São Paulo),43713,40269.0,21/08/2024,21:30,AMÉRICA DO SUL,COPA LIBERTADORES - PLAYOFFS - OITAVAS DE FINAL
