id,homeTeam,homeTeamImage,awayTeam,awayTeamImage,scoreHome,scoreAway,pointsHome,pointsAway,referee,stadium,capacity,public,date,time,country,round
WIF4Wj4P,Atlético-MG,https://static.flashscore.com/res/image/data/WbSJHDh5-pCk2vaSD.png,Grêmio,https://static.flashscore.com/res/image/data/QPdJscAr-tQsU6dGl.png,2,1,3,0,Luiz Flávio (Bra),Arena MRV (Belo Horizonte),47465.0,30861.0,09/10/2024,19:30,BRASIL,BRASILEIRÃO BETANO - RODADA 6
GKls7bCm,Vasco,https://static.flashscore.com/res/image/data/d2irXNjl-bam8o1Nj.png,Juventude,https://static.flashscore.com/res/image/data/CA0V6qXg-8r8ETTNO.png,1,1,1,1,Augusto V. C. M. (Bra),São Januário (Rio de Janeiro),21880.0,18036.0,05/10/2024,21:00,BRASIL,BRASILEIRÃO BETANO - RODADA 29
dz8ACKlQ,Bahia,https://static.flashscore.com/res/image/data/f5V5z1Cr-dKUmd286.png,Flamengo,https://static.flashscore.com/res/image/data/ADvIaiZA-2R2JjDQC.png,0,2,0,3,Klein R. (Bra),Casa de Apostas Arena Fonte Nova (Salvador),48902.0,41978.0,05/10/2024,19:00,BRASIL,BRASILEIRÃO BETANO - RODADA 29
Aslo6IRg,Corinthians,https://static.flashscore.com/res/image/data/lY91WW9r-Sv3m8l2G.png,Internacional,https://static.flashscore.com/res/image/data/4EdoEoil-ALgHCh57.png,2,2,1,1,L. Torezin (Bra),Neo Química Arena (São Paulo),49205.0,44597.0,05/10/2024,19:00,BRASIL,BRASILEIRÃO BETANO - RODADA 29
p0tb3GBC,Cuiabá,https://static.flashscore.com/res/image/data/COoi5ag5-6FedhD0P.png,São Paulo,https://static.flashscore.com/res/image/data/YgK3qNCa-UPn7aGHL.png,2,0,3,0,Anderson Daronco (Bra),Arena Pantanal (Cuiabá),44000.0,8131.0,05/10/2024,19:00,BRASIL,BRASILEIRÃO BETANO - RODADA 29
69sf4dd6,Athletico-PR,https://static.flashscore.com/res/image/data/SdnmINcM-QaMaOfUh.png,Botafogo,https://static.flashscore.com/res/image/data/jBDSUABr-rJBthgZj.png,0,1,0,3,Flávio Rodrigues de Souza (Bra),Ligga Arena (Curitiba),42372.0,22726.0,05/10/2024,16:30,BRASIL,BRASILEIRÃO BETANO - RODADA 29
Iq96D0ZJ,Atlético-MG,https://static.flashscore.com/res/image/data/WbSJHDh5-pCk2vaSD.png,Vitória,https://static.flashscore.com/res/image/data/EglYBtxS-4S2Tm4eJ.png,2,2,1,1,Delgado M. (Bra),Arena MRV (Belo Horizonte),47465.0,30861.0,05/10/2024,16:30,BRASIL,BRASILEIRÃO BETANO - RODADA 29
lYnk5xs0,Red Bull Bragantino,https://static.flashscore.com/res/image/data/llnonZDa-UkMF8Udb.png,Palmeiras,https://static.flashscore.com/res/image/data/xCtpyPHG-ALgHCh57.png,0,0,1,1,da Silva Machado B. (Bra),Estádio Nabi Abi Chedid (Bragança Paulista),15010.0,9989.0,05/10/2024,16:30,BRASIL,BRASILEIRÃO BETANO - RODADA 29
jwLOlHdJ,Grêmio,https://static.flashscore.com/res/image/data/QPdJscAr-tQsU6dGl.png,Fortaleza,https://static.flashscore.com/res/image/data/ObufU2YA-8r8ETTNO.png,3,1,3,0,Lacerda D. (Bra),Arena do Grêmio (Porto Alegre),60540.0,21984.0,04/10/2024,21:30,BRASIL,BRASILEIRÃO BETANO - RODADA 29
2Hpw8vcs,Fluminense,https://static.flashscore.com/res/image/data/WlxJgSdM-WUfDDYk1.png,Cruzeiro,https://static.flashscore.com/res/image/data/lCWrxmg5-SjJmyx86.png,1,0,3,0,Bauermann G. (Bra),Maracanã (Rio de Janeiro),78838.0,18301.0,03/10/2024,21:30,BRASIL,BRASILEIRÃO BETANO - RODADA 29
vNu22zRI,Criciúma,https://static.flashscore.com/res/image/data/rD23Eng5-no5LkQQ6.png,Atlético-GO,https://static.flashscore.com/res/image/data/WGHITlhl-8f6Hj6B0.png,2,0,3,0,Vitor Gobi J. (Bra),Estádio Heriberto Hülse (Criciúma),19300.0,11192.0,03/10/2024,19:00,BRASIL,BRASILEIRÃO BETANO - RODADA 29
l6CVBmbF,Flamengo,https://static.flashscore.com/res/image/data/ADvIaiZA-2R2JjDQC.png,Athletico-PR,https://static.flashscore.com/res/image/data/SdnmINcM-QaMaOfUh.png,1,0,3,0,Lacerda D. (Bra),Maracanã (Rio de Janeiro),78838.0,26812.0,29/09/2024,20:00,BRASIL,BRASILEIRÃO BETANO - RODADA 28
fqDRCTr9,Bahia,https://static.flashscore.com/res/image/data/f5V5z1Cr-dKUmd286.png,Criciúma,https://static.flashscore.com/res/image/data/rD23Eng5-no5LkQQ6.png,1,0,3,0,E. Alves Batista (Bra),Casa de Apostas Arena Fonte Nova (Salvador),48902.0,24574.0,29/09/2024,18:30,BRASIL,BRASILEIRÃO BETANO - RODADA 28
r99ND9T2,Cruzeiro,https://static.flashscore.com/res/image/data/lCWrxmg5-SjJmyx86.png,Vasco,https://static.flashscore.com/res/image/data/d2irXNjl-bam8o1Nj.png,1,1,1,1,Delgado M. (Bra),Mineirão (Belo Horizonte),61927.0,33431.0,29/09/2024,18:30,BRASIL,BRASILEIRÃO BETANO - RODADA 28
t4VvkQj2,Internacional,https://static.flashscore.com/res/image/data/4EdoEoil-ALgHCh57.png,Vitória,https://static.flashscore.com/res/image/data/EglYBtxS-4S2Tm4eJ.png,3,1,3,0,Wagner do Nascimento (Bra),Estádio José Pinheiro Borda (Porto Alegre),50600.0,38654.0,29/09/2024,18:30,BRASIL,BRASILEIRÃO BETANO - RODADA 28
UNWFjwS6,Atlético-GO,https://static.flashscore.com/res/image/data/WGHITlhl-8f6Hj6B0.png,Fluminense,https://static.flashscore.com/res/image/data/WlxJgSdM-WUfDDYk1.png,1,0,3,0,R. Abatti Abel (Bra),Estádio Antonio Accioly (Goiânia),12500.0,6755.0,29/09/2024,16:00,BRASIL,BRASILEIRÃO BETANO - RODADA 28
GKSBiJC0,Fortaleza,https://static.flashscore.com/res/image/data/ObufU2YA-8r8ETTNO.png,Cuiabá,https://static.flashscore.com/res/image/data/COoi5ag5-6FedhD0P.png,1,0,3,0,Ribeiro Serafim D. (Bra),Castelão (Fortaleza),60326.0,32085.0,29/09/2024,16:00,BRASIL,BRASILEIRÃO BETANO - RODADA 28
McT7hacf,São Paulo,https://static.flashscore.com/res/image/data/YgK3qNCa-UPn7aGHL.png,Corinthians,https://static.flashscore.com/res/image/data/lY91WW9r-Sv3m8l2G.png,3,1,3,0,Klein R. (Bra),Estádio Nacional Mané Garrincha (Brasília),72788.0,25888.0,29/09/2024,16:00,BRASIL,BRASILEIRÃO BETANO - RODADA 28
CnMKkcsD,Juventude,https://static.flashscore.com/res/image/data/CA0V6qXg-8r8ETTNO.png,Red Bull Bragantino,https://static.flashscore.com/res/image/data/llnonZDa-UkMF8Udb.png,1,1,1,1,A. Gomes Stefano (Bra),Estadio Alfredo Jaconi (Caxias do Sul),19924.0,6285.0,29/09/2024,11:00,BRASIL,BRASILEIRÃO BETANO - RODADA 28
QVZbfLSs,Botafogo,https://static.flashscore.com/res/image/data/jBDSUABr-rJBthgZj.png,Grêmio,https://static.flashscore.com/res/image/data/QPdJscAr-tQsU6dGl.png,0,0,1,1,M. Lima Barbosa (Bra),Estádio Olímpico Nilton Santos (Rio de Janeiro),46931.0,42220.0,28/09/2024,21:00,BRASIL,BRASILEIRÃO BETANO - RODADA 28
r7U3gurl,Palmeiras,https://static.flashscore.com/res/image/data/xCtpyPHG-ALgHCh57.png,Atlético-MG,https://static.flashscore.com/res/image/data/WbSJHDh5-pCk2vaSD.png,2,1,3,0,B. Arleu (Bra),Estádio Brinco de Ouro (Campinas),29130.0,14550.0,28/09/2024,18:30,BRASIL,BRASILEIRÃO BETANO - RODADA 28
dWVneUsJ,Grêmio,https://static.flashscore.com/res/image/data/QPdJscAr-tQsU6dGl.png,Criciúma,https://static.flashscore.com/res/image/data/rD23Eng5-no5LkQQ6.png,1,2,0,3,Lacerda D. (Bra),Arena do Grêmio (Porto Alegre),60540.0,18457.0,25/09/2024,19:00,BRASIL,BRASILEIRÃO BETANO - RODADA 5
0WMFQzjf,Red Bull Bragantino,https://static.flashscore.com/res/image/data/llnonZDa-UkMF8Udb.png,Internacional,https://static.flashscore.com/res/image/data/4EdoEoil-ALgHCh57.png,2,2,1,1,R. J. Pereira de Lima (Bra),Estádio Nabi Abi Chedid (Bragança Paulista),15010.0,3871.0,25/09/2024,19:00,BRASIL,BRASILEIRÃO BETANO - RODADA 16
2DWzj6yd,Criciúma,https://static.flashscore.com/res/image/data/rD23Eng5-no5LkQQ6.png,Athletico-PR,https://static.flashscore.com/res/image/data/SdnmINcM-QaMaOfUh.png,0,0,1,1,Anderson Daronco (Bra),Estádio Heriberto Hülse (Criciúma),19300.0,11598.0,22/09/2024,20:00,BRASIL,BRASILEIRÃO BETANO - RODADA 27
YwSWjnMk,Cuiabá,https://static.flashscore.com/res/image/data/COoi5ag5-6FedhD0P.png,Cruzeiro,https://static.flashscore.com/res/image/data/lCWrxmg5-SjJmyx86.png,0,0,1,1,Flávio Rodrigues de Souza (Bra),Arena Pantanal (Cuiabá),44000.0,4207.0,22/09/2024,18:30,BRASIL,BRASILEIRÃO BETANO - RODADA 27
rZU5xm7d,Grêmio,https://static.flashscore.com/res/image/data/QPdJscAr-tQsU6dGl.png,Flamengo,https://static.flashscore.com/res/image/data/ADvIaiZA-2R2JjDQC.png,3,2,3,0,Delgado M. (Bra),Arena do Grêmio (Porto Alegre),60540.0,48504.0,22/09/2024,18:30,BRASIL,BRASILEIRÃO BETANO - RODADA 27
l6j0d8bS,São Paulo,https://static.flashscore.com/res/image/data/YgK3qNCa-UPn7aGHL.png,Internacional,https://static.flashscore.com/res/image/data/4EdoEoil-ALgHCh57.png,1,3,0,3,R. Abatti Abel (Bra),Estádio do MorumBIS (São Paulo),77011.0,35111.0,22/09/2024,18:30,BRASIL,BRASILEIRÃO BETANO - RODADA 27
dxJm1Wqc,Atlético-MG,https://static.flashscore.com/res/image/data/WbSJHDh5-pCk2vaSD.png,Red Bull Bragantino,https://static.flashscore.com/res/image/data/llnonZDa-UkMF8Udb.png,3,0,3,0,L. Torezin (Bra),Arena MRV (Belo Horizonte),47465.0,34533.0,22/09/2024,16:00,BRASIL,BRASILEIRÃO BETANO - RODADA 27
ttmhbUTF,Vasco,https://static.flashscore.com/res/image/data/d2irXNjl-bam8o1Nj.png,Palmeiras,https://static.flashscore.com/res/image/data/xCtpyPHG-ALgHCh57.png,0,1,0,3,Klein R. (Bra),Estádio Nacional Mané Garrincha (Brasília),72788.0,62186.0,22/09/2024,16:00,BRASIL,BRASILEIRÃO BETANO - RODADA 27
