id,homeTeam,homeTeamImage,awayTeam,awayTeamImage,scoreHome,scoreAway,pointsHome,pointsAway,referee,stadium,capacity,public,date,time,country,round
nqymI8eH,Fortaleza (Bra),https://static.flashscore.com/res/image/data/ObufU2YA-8r8ETTNO.png,LDU Quito (Ecu),https://static.flashscore.com/res/image/data/QynioKCa-dldy8uVh.png,1,2,0,3,Valenzuela J. (Ven),Estádio Domingo Burgueño Miguel (Maldonado),22000,,28/10/2023,17:00,AMÉRICA DO SUL,COPA SUL-AMERICANA - PLAYOFFS - FINAL
r5XhFhTs,Defensa y Justicia (Arg),https://static.flashscore.com/res/image/data/WbcBGVf5-QcmznTSR.png,LDU Quito (Ecu),https://static.flashscore.com/res/image/data/QynioKCa-dldy8uVh.png,0,0,1,1,Maza P. (Chi),Estádio Cidade de Lanús (Néstor Díaz Pérez) (Lanús),47090,11540.0,04/10/2023,19:00,AMÉRICA DO SUL,COPA SUL-AMERICANA - PLAYOFFS - SEMIFINAIS
W4AeunnB,Fortaleza (Bra),https://static.flashscore.com/res/image/data/ObufU2YA-8r8ETTNO.png,Corinthians (Bra),https://static.flashscore.com/res/image/data/lY91WW9r-Sv3m8l2G.png,2,0,3,0,Rojas A. (Col),Castelão (Fortaleza),60326,60151.0,03/10/2023,21:30,AMÉRICA DO SUL,COPA SUL-AMERICANA - PLAYOFFS - SEMIFINAIS
tdoRJYKQ,LDU Quito (Ecu),https://static.flashscore.com/res/image/data/QynioKCa-dldy8uVh.png,Defensa y Justicia (Arg),https://static.flashscore.com/res/image/data/WbcBGVf5-QcmznTSR.png,3,0,3,0,Raphael Claus (Bra),Estádio Rodrigo Paz Delgado (Quito),41575,,27/09/2023,19:00,AMÉRICA DO SUL,COPA SUL-AMERICANA - PLAYOFFS - SEMIFINAIS
I16itSW4,Corinthians (Bra),https://static.flashscore.com/res/image/data/lY91WW9r-Sv3m8l2G.png,Fortaleza (Bra),https://static.flashscore.com/res/image/data/ObufU2YA-8r8ETTNO.png,1,1,1,1,Ostojich E. (Uru),Neo Química Arena (São Paulo),49205,42196.0,26/09/2023,21:30,AMÉRICA DO SUL,COPA SUL-AMERICANA - PLAYOFFS - SEMIFINAIS
WdA72i7m,Fortaleza (Bra),https://static.flashscore.com/res/image/data/ObufU2YA-8r8ETTNO.png,América-MG (Bra),https://static.flashscore.com/res/image/data/Eut0HLfM-nHqWQgSo.png,2,1,3,0,Alveal F. (Chi),Castelão (Fortaleza),60326,56916.0,31/08/2023,19:00,AMÉRICA DO SUL,COPA SUL-AMERICANA - PLAYOFFS - QUARTAS DE FINAL
MNKX8gUJ,São Paulo (Bra),https://static.flashscore.com/res/image/data/YgK3qNCa-UPn7aGHL.png,LDU Quito (Ecu),https://static.flashscore.com/res/image/data/QynioKCa-dldy8uVh.png,1,1,1,1,Herrera A. (Ven),Estádio do MorumBIS (São Paulo),77011,52658.0,31/08/2023,19:00,AMÉRICA DO SUL,COPA SUL-AMERICANA - PLAYOFFS - QUARTAS DE FINAL
zB8bThOu,Defensa y Justicia (Arg),https://static.flashscore.com/res/image/data/WbcBGVf5-QcmznTSR.png,Botafogo (Bra),https://static.flashscore.com/res/image/data/jBDSUABr-rJBthgZj.png,2,1,3,0,Ospina J. (Col),Estádio Florencio Sola (Buenos Aires),34902,16648.0,30/08/2023,19:00,AMÉRICA DO SUL,COPA SUL-AMERICANA - PLAYOFFS - QUARTAS DE FINAL
6FroKfUR,Estudiantes (Arg),https://static.flashscore.com/res/image/data/I1h85xcM-ClrNhsho.png,Corinthians (Bra),https://static.flashscore.com/res/image/data/lY91WW9r-Sv3m8l2G.png,1,1,1,1,Roldan W. (Col),Estádio Jorge Luis Hirschi (La Plata),32530,23082.0,29/08/2023,21:30,AMÉRICA DO SUL,COPA SUL-AMERICANA - PLAYOFFS - QUARTAS DE FINAL
h6B33Xis,América-MG (Bra),https://static.flashscore.com/res/image/data/Eut0HLfM-nHqWQgSo.png,Fortaleza (Bra),https://static.flashscore.com/res/image/data/ObufU2YA-8r8ETTNO.png,1,3,0,3,Roldan W. (Col),Mineirão (Belo Horizonte),61927,3301.0,24/08/2023,19:00,AMÉRICA DO SUL,COPA SUL-AMERICANA - PLAYOFFS - QUARTAS DE FINAL
KItkpAiJ,LDU Quito (Ecu),https://static.flashscore.com/res/image/data/QynioKCa-dldy8uVh.png,São Paulo (Bra),https://static.flashscore.com/res/image/data/YgK3qNCa-UPn7aGHL.png,2,1,3,0,Ospina J. (Col),Estádio Rodrigo Paz Delgado (Quito),41575,30648.0,24/08/2023,19:00,AMÉRICA DO SUL,COPA SUL-AMERICANA - PLAYOFFS - QUARTAS DE FINAL
