id,homeTeam,homeTeamImage,awayTeam,awayTeamImage,scoreHome,scoreAway,referee,stadium,capacity,public,date,time,country,round,penaltis
KdwXCkbO,Flamengo (Bra),https://static.flashscore.com/res/image/data/ADvIaiZA-2R2JjDQC.png,Athletico-PR (Bra),https://static.flashscore.com/res/image/data/SdnmINcM-QaMaOfUh.png,1,0,Loustau P. (Arg),Estádio Banco Pichincha (Guayaquil),59283.0,,29/10/2022,17:00,AMÉRICA DO SUL,COPA LIBERTADORES - PLAYOFFS - FINAL,
4dylaHU5,Flamengo (Bra),https://static.flashscore.com/res/image/data/ADvIaiZA-2R2JjDQC.png,Vélez Sarsfield (Arg),https://static.flashscore.com/res/image/data/MiclPtFa-UofJiKP6.png,2,1,Maza P. (Chi),Maracanã (Rio de Janeiro),78838.0,66635.0,07/09/2022,21:30,AMÉRICA DO SUL,COPA LIBERTADORES - PLAYOFFS - SEMIFINAIS,
WtK9i467,Palmeiras (Bra),https://static.flashscore.com/res/image/data/xCtpyPHG-ALgHCh57.png,Athletico-PR (Bra),https://static.flashscore.com/res/image/data/SdnmINcM-QaMaOfUh.png,2,2,,,,,06/09/2022,21:30,AMÉRICA DO SUL,COPA LIBERTADORES - PLAYOFFS - SEMIFINAIS,
MXoq0cFa,Vélez Sarsfield (Arg),https://static.flashscore.com/res/image/data/MiclPtFa-UofJiKP6.png,Flamengo (Bra),https://static.flashscore.com/res/image/data/ADvIaiZA-2R2JjDQC.png,0,4,Roldan W. (Col),Estadio José Amalfitani (Buenos Aires),49540.0,,31/08/2022,21:30,AMÉRICA DO SUL,COPA LIBERTADORES - PLAYOFFS - SEMIFINAIS,
IwG5hpi1,Athletico-PR (Bra),https://static.flashscore.com/res/image/data/SdnmINcM-QaMaOfUh.png,Palmeiras (Bra),https://static.flashscore.com/res/image/data/xCtpyPHG-ALgHCh57.png,1,0,,,42372.0,38963.0,30/08/2022,21:30,AMÉRICA DO SUL,COPA LIBERTADORES - PLAYOFFS - SEMIFINAIS,
2eNC7lTg,Estudiantes (Arg),https://static.flashscore.com/res/image/data/I1h85xcM-ClrNhsho.png,Athletico-PR (Bra),https://static.flashscore.com/res/image/data/SdnmINcM-QaMaOfUh.png,0,1,Matonte Cabrera A. M. (Uru),Estádio Jorge Luis Hirschi (La Plata),32530.0,20544.0,11/08/2022,21:30,AMÉRICA DO SUL,COPA LIBERTADORES - PLAYOFFS - QUARTAS DE FINAL,
SCafjFUn,Palmeiras (Bra),https://static.flashscore.com/res/image/data/xCtpyPHG-ALgHCh57.png,Atlético-MG (Bra),https://static.flashscore.com/res/image/data/WbSJHDh5-pCk2vaSD.png,1,0,Roldan W. (Col),Allianz Parque (São Paulo),43713.0,40433.0,10/08/2022,21:30,AMÉRICA DO SUL,COPA LIBERTADORES - PLAYOFFS - QUARTAS DE FINAL,6 - 5
hYyu2CTb,Talleres Córdoba (Arg),https://static.flashscore.com/res/image/data/p45YOHAr-hUOWZpWa.png,Vélez Sarsfield (Arg),https://static.flashscore.com/res/image/data/MiclPtFa-UofJiKP6.png,0,1,Aquino E. (Par),Estadio Mario Alberto Kempes (Córdoba),57000.0,52265.0,10/08/2022,21:30,AMÉRICA DO SUL,COPA LIBERTADORES - PLAYOFFS - QUARTAS DE FINAL,
8A3MqVDU,Flamengo (Bra),https://static.flashscore.com/res/image/data/ADvIaiZA-2R2JjDQC.png,Corinthians (Bra),https://static.flashscore.com/res/image/data/lY91WW9r-Sv3m8l2G.png,1,0,Ostojich E. (Uru),Maracanã (Rio de Janeiro),78838.0,68418.0,09/08/2022,21:30,AMÉRICA DO SUL,COPA LIBERTADORES - PLAYOFFS - QUARTAS DE FINAL,
O4O88UDm,Athletico-PR (Bra),https://static.flashscore.com/res/image/data/SdnmINcM-QaMaOfUh.png,Estudiantes (Arg),https://static.flashscore.com/res/image/data/I1h85xcM-ClrNhsho.png,0,0,Valenzuela J. (Ven),Ligga Arena (Curitiba),42372.0,34173.0,04/08/2022,21:30,AMÉRICA DO SUL,COPA LIBERTADORES - PLAYOFFS - QUARTAS DE FINAL,
plAkieFt,Atlético-MG (Bra),https://static.flashscore.com/res/image/data/WbSJHDh5-pCk2vaSD.png,Palmeiras (Bra),https://static.flashscore.com/res/image/data/xCtpyPHG-ALgHCh57.png,2,2,Tello F. (Arg),Mineirão (Belo Horizonte),61927.0,57140.0,03/08/2022,21:30,AMÉRICA DO SUL,COPA LIBERTADORES - PLAYOFFS - QUARTAS DE FINAL,
tbYz3hEh,Vélez Sarsfield (Arg),https://static.flashscore.com/res/image/data/MiclPtFa-UofJiKP6.png,Talleres Córdoba (Arg),https://static.flashscore.com/res/image/data/p45YOHAr-hUOWZpWa.png,3,2,Roldan W. (Col),Estadio José Amalfitani (Buenos Aires),49540.0,22935.0,03/08/2022,21:30,AMÉRICA DO SUL,COPA LIBERTADORES - PLAYOFFS - QUARTAS DE FINAL,
UJ4IpBbO,Corinthians (Bra),https://static.flashscore.com/res/image/data/lY91WW9r-Sv3m8l2G.png,Flamengo (Bra),https://static.flashscore.com/res/image/data/ADvIaiZA-2R2JjDQC.png,0,2,Loustau P. (Arg),Neo Química Arena (São Paulo),49205.0,,02/08/2022,21:30,AMÉRICA DO SUL,COPA LIBERTADORES - PLAYOFFS - QUARTAS DE FINAL,
dhwQTr72,Estudiantes (Arg),https://static.flashscore.com/res/image/data/I1h85xcM-ClrNhsho.png,Fortaleza (Bra),https://static.flashscore.com/res/image/data/ObufU2YA-8r8ETTNO.png,3,0,Ostojich E. (Uru),Estádio Jorge Luis Hirschi (La Plata),32530.0,19942.0,07/07/2022,21:30,AMÉRICA DO SUL,COPA LIBERTADORES - PLAYOFFS - OITAVAS DE FINAL,
QXUtQ06R,Flamengo (Bra),https://static.flashscore.com/res/image/data/ADvIaiZA-2R2JjDQC.png,Tolima (Col),https://static.flashscore.com/res/image/data/ngiuiwYg-bXlV9lJE.png,7,1,,,,,06/07/2022,21:30,AMÉRICA DO SUL,COPA LIBERTADORES - PLAYOFFS - OITAVAS DE FINAL,
AP8PHxE7,River Plate (Arg),https://static.flashscore.com/res/image/data/Ic4xH0Yg-nqhLBCKD.png,Vélez Sarsfield (Arg),https://static.flashscore.com/res/image/data/MiclPtFa-UofJiKP6.png,0,0,,,,,06/07/2022,21:30,AMÉRICA DO SUL,COPA LIBERTADORES - PLAYOFFS - OITAVAS DE FINAL,
z7GCKvUl,Colón (Arg),https://static.flashscore.com/res/image/data/Oxm9YgwS-v7vJFvZo.png,Talleres Córdoba (Arg),https://static.flashscore.com/res/image/data/p45YOHAr-hUOWZpWa.png,0,2,Anderson Daronco (Bra),Estadio Brigadier General Estanislao López (Santa Fe),28251.0,17235.0,06/07/2022,19:15,AMÉRICA DO SUL,COPA LIBERTADORES - PLAYOFFS - OITAVAS DE FINAL,
tpew6uFe,Palmeiras (Bra),https://static.flashscore.com/res/image/data/xCtpyPHG-ALgHCh57.png,Cerro Porteno (Par),https://static.flashscore.com/res/image/data/Ovlb3hBr-SOY3p1Si.png,5,0,Loustau P. (Arg),Allianz Parque (São Paulo),43713.0,37431.0,06/07/2022,19:15,AMÉRICA DO SUL,COPA LIBERTADORES - PLAYOFFS - OITAVAS DE FINAL,
U5yYRMyF,Boca Juniors (Arg),https://static.flashscore.com/res/image/data/h4UwH8Cr-tnwDCzLD.png,Corinthians (Bra),https://static.flashscore.com/res/image/data/lY91WW9r-Sv3m8l2G.png,0,1,Matonte Cabrera A. M. (Uru),Estadio Alberto J. Armando (Buenos Aires),57200.0,,05/07/2022,21:30,AMÉRICA DO SUL,COPA LIBERTADORES - PLAYOFFS - OITAVAS DE FINAL,5 - 6
zmhV71pq,Libertad (Par),https://static.flashscore.com/res/image/data/ln1XQ9Ar-UwvYANk9.png,Athletico-PR (Bra),https://static.flashscore.com/res/image/data/SdnmINcM-QaMaOfUh.png,1,1,,,,,05/07/2022,21:30,AMÉRICA DO SUL,COPA LIBERTADORES - PLAYOFFS - OITAVAS DE FINAL,
ITEuODzs,Atlético-MG (Bra),https://static.flashscore.com/res/image/data/WbSJHDh5-pCk2vaSD.png,Emelec (Ecu),https://static.flashscore.com/res/image/data/Yu6gDICr-ru7B2xn1.png,1,0,Valenzuela J. (Ven),Mineirão (Belo Horizonte),61927.0,56421.0,05/07/2022,19:15,AMÉRICA DO SUL,COPA LIBERTADORES - PLAYOFFS - OITAVAS DE FINAL,
Kzfs5aU1,Fortaleza (Bra),https://static.flashscore.com/res/image/data/ObufU2YA-8r8ETTNO.png,Estudiantes (Arg),https://static.flashscore.com/res/image/data/I1h85xcM-ClrNhsho.png,1,1,,,,,30/06/2022,21:30,AMÉRICA DO SUL,COPA LIBERTADORES - PLAYOFFS - OITAVAS DE FINAL,
r9uxRtiL,Tolima (Col),https://static.flashscore.com/res/image/data/ngiuiwYg-bXlV9lJE.png,Flamengo (Bra),https://static.flashscore.com/res/image/data/ADvIaiZA-2R2JjDQC.png,0,1,,,,,29/06/2022,21:30,AMÉRICA DO SUL,COPA LIBERTADORES - PLAYOFFS - OITAVAS DE FINAL,
dM4LIIb1,Vélez Sarsfield (Arg),https://static.flashscore.com/res/image/data/MiclPtFa-UofJiKP6.png,River Plate (Arg),https://static.flashscore.com/res/image/data/Ic4xH0Yg-nqhLBCKD.png,1,0,,,,,29/06/2022,21:30,AMÉRICA DO SUL,COPA LIBERTADORES - PLAYOFFS - OITAVAS DE FINAL,
nNeZ6Lak,Cerro Porteno (Par),https://static.flashscore.com/res/image/data/Ovlb3hBr-SOY3p1Si.png,Palmeiras (Bra),https://static.flashscore.com/res/image/data/xCtpyPHG-ALgHCh57.png,0,3,,,,,29/06/2022,19:15,AMÉRICA DO SUL,COPA LIBERTADORES - PLAYOFFS - OITAVAS DE FINAL,
StH8LKEr,Talleres Córdoba (Arg),https://static.flashscore.com/res/image/data/p45YOHAr-hUOWZpWa.png,Colón (Arg),https://static.flashscore.com/res/image/data/Oxm9YgwS-v7vJFvZo.png,1,1,,,,,29/06/2022,19:15,AMÉRICA DO SUL,COPA LIBERTADORES - PLAYOFFS - OITAVAS DE FINAL,
U5F2CsxS,Athletico-PR (Bra),https://static.flashscore.com/res/image/data/SdnmINcM-QaMaOfUh.png,Libertad (Par),https://static.flashscore.com/res/image/data/ln1XQ9Ar-UwvYANk9.png,2,1,,,,,28/06/2022,21:30,AMÉRICA DO SUL,COPA LIBERTADORES - PLAYOFFS - OITAVAS DE FINAL,
zqxUS2M8,Corinthians (Bra),https://static.flashscore.com/res/image/data/lY91WW9r-Sv3m8l2G.png,Boca Juniors (Arg),https://static.flashscore.com/res/image/data/h4UwH8Cr-tnwDCzLD.png,0,0,,Neo Química Arena (São Paulo),49205.0,,28/06/2022,21:30,AMÉRICA DO SUL,COPA LIBERTADORES - PLAYOFFS - OITAVAS DE FINAL,
2JeBut6E,Emelec (Ecu),https://static.flashscore.com/res/image/data/Yu6gDICr-ru7B2xn1.png,Atlético-MG (Bra),https://static.flashscore.com/res/image/data/WbSJHDh5-pCk2vaSD.png,1,1,Rapallini F. (Arg),Estádio George Capwell (Guayaquil),40020.0,,28/06/2022,19:15,AMÉRICA DO SUL,COPA LIBERTADORES - PLAYOFFS - OITAVAS DE FINAL,
jivNCWWH,Boca Juniors (Arg),https://static.flashscore.com/res/image/data/h4UwH8Cr-tnwDCzLD.png,Dep. Cali (Col),https://static.flashscore.com/res/image/data/O2O10jHG-IHPA1GDt.png,1,0,,,,,26/05/2022,21:00,AMÉRICA DO SUL,COPA LIBERTADORES - FASE DE GRUPOS - RODADA 6,
pEwRBjnO,Corinthians (Bra),https://static.flashscore.com/res/image/data/lY91WW9r-Sv3m8l2G.png,Always Ready (Bol),https://static.flashscore.com/res/image/data/h2zsNpg5-Ycu4vmIa.png,1,1,,,,,26/05/2022,21:00,AMÉRICA DO SUL,COPA LIBERTADORES - FASE DE GRUPOS - RODADA 6,
KhuGKKUe,Athletico-PR (Bra),https://static.flashscore.com/res/image/data/SdnmINcM-QaMaOfUh.png,Caracas (Ven),https://static.flashscore.com/res/image/data/hIuNHZFG-0nhENufQ.png,5,1,Lamolina N. (Arg),Ligga Arena (Curitiba),42372.0,,26/05/2022,19:00,AMÉRICA DO SUL,COPA LIBERTADORES - FASE DE GRUPOS - RODADA 6,
bqvKJvp2,Libertad (Par),https://static.flashscore.com/res/image/data/ln1XQ9Ar-UwvYANk9.png,The Strongest (Bol),https://static.flashscore.com/res/image/data/WG5SI1Yg-0rjUYb4J.png,4,1,Tello F. (Arg),Estadio Defensores del Chaco (Assunção),44164.0,,26/05/2022,19:00,AMÉRICA DO SUL,COPA LIBERTADORES - FASE DE GRUPOS - RODADA 6,
jwalbXHO,Atlético-MG (Bra),https://static.flashscore.com/res/image/data/WbSJHDh5-pCk2vaSD.png,Tolima (Col),https://static.flashscore.com/res/image/data/ngiuiwYg-bXlV9lJE.png,1,2,Loustau P. (Arg),Mineirão (Belo Horizonte),61927.0,34339.0,25/05/2022,21:00,AMÉRICA DO SUL,COPA LIBERTADORES - FASE DE GRUPOS - RODADA 6,
0jm9OTVT,Cerro Porteno (Par),https://static.flashscore.com/res/image/data/Ovlb3hBr-SOY3p1Si.png,Olimpia Asuncion (Par),https://static.flashscore.com/res/image/data/fFjeTTwS-UPd1WAes.png,0,1,Raphael Claus (Bra),Estádio General Pablo Rojas (Assunção),45000.0,,25/05/2022,21:00,AMÉRICA DO SUL,COPA LIBERTADORES - FASE DE GRUPOS - RODADA 6,
4tmWMGfP,Ind. del Valle (Ecu),https://static.flashscore.com/res/image/data/t8nwTpe5-OnCKiY2r.png,América-MG (Bra),https://static.flashscore.com/res/image/data/Eut0HLfM-nHqWQgSo.png,3,0,,,,,25/05/2022,21:00,AMÉRICA DO SUL,COPA LIBERTADORES - FASE DE GRUPOS - RODADA 6,
