id,homeTeam,homeTeamImage,awayTeam,awayTeamImage,scoreHome,scoreAway,referee,stadium,capacity,public,date,time,country,round,penaltis
Qk48RLVm,São Paulo (Bra),https://static.flashscore.com/res/image/data/YgK3qNCa-UPn7aGHL.png,Ind. del Valle (Ecu),https://static.flashscore.com/res/image/data/t8nwTpe5-OnCKiY2r.png,0,2,Roldan W. (Col),Estadio Mario Alberto Kempes (Córdoba),57000.0,,01/10/2022,17:00,AMÉRICA DO SUL,COPA SUL-AMERICANA - PLAYOFFS - FINAL,
YZVuRB1P,São Paulo (Bra),https://static.flashscore.com/res/image/data/YgK3qNCa-UPn7aGHL.png,Atlético-GO (Bra),https://static.flashscore.com/res/image/data/WGHITlhl-8f6Hj6B0.png,3,0,Herrera D. (Arg),Estádio do MorumBIS (São Paulo),77011.0,53988.0,08/09/2022,21:30,AMÉRICA DO SUL,COPA SUL-AMERICANA - PLAYOFFS - SEMIFINAIS,4 - 2
lvjlbf6P,Melgar (Per),https://static.flashscore.com/res/image/data/fmdls5HG-AccabXmc.png,Ind. del Valle (Ecu),https://static.flashscore.com/res/image/data/t8nwTpe5-OnCKiY2r.png,0,3,,,,,07/09/2022,21:30,AMÉRICA DO SUL,COPA SUL-AMERICANA - PLAYOFFS - SEMIFINAIS,
KWsb2SOO,Atlético-GO (Bra),https://static.flashscore.com/res/image/data/WGHITlhl-8f6Hj6B0.png,São Paulo (Bra),https://static.flashscore.com/res/image/data/YgK3qNCa-UPn7aGHL.png,3,1,,,,,01/09/2022,21:30,AMÉRICA DO SUL,COPA SUL-AMERICANA - PLAYOFFS - SEMIFINAIS,
MX16ZATO,Ind. del Valle (Ecu),https://static.flashscore.com/res/image/data/t8nwTpe5-OnCKiY2r.png,Melgar (Per),https://static.flashscore.com/res/image/data/fmdls5HG-AccabXmc.png,3,0,,,,,31/08/2022,21:30,AMÉRICA DO SUL,COPA SUL-AMERICANA - PLAYOFFS - SEMIFINAIS,
nyZW3Ybn,Internacional (Bra),https://static.flashscore.com/res/image/data/4EdoEoil-ALgHCh57.png,Melgar (Per),https://static.flashscore.com/res/image/data/fmdls5HG-AccabXmc.png,0,1,,,,,11/08/2022,19:15,AMÉRICA DO SUL,COPA SUL-AMERICANA - PLAYOFFS - QUARTAS DE FINAL,1 - 3
zNzK5Sc6,Ceará (Bra),https://static.flashscore.com/res/image/data/lO0NK6f5-d29WsioJ.png,São Paulo (Bra),https://static.flashscore.com/res/image/data/YgK3qNCa-UPn7aGHL.png,2,2,Rapallini F. (Arg),Castelão (Fortaleza),60326.0,,10/08/2022,19:15,AMÉRICA DO SUL,COPA SUL-AMERICANA - PLAYOFFS - QUARTAS DE FINAL,3 - 4
GzXdH4uL,Ind. del Valle (Ecu),https://static.flashscore.com/res/image/data/t8nwTpe5-OnCKiY2r.png,Dep. Tachira (Ven),https://static.flashscore.com/res/image/data/bcTCzcAr-OxmaT1W4.png,4,1,,,,,09/08/2022,21:30,AMÉRICA DO SUL,COPA SUL-AMERICANA - PLAYOFFS - QUARTAS DE FINAL,
WlUS36SI,Atlético-GO (Bra),https://static.flashscore.com/res/image/data/WGHITlhl-8f6Hj6B0.png,Nacional (Uru),https://static.flashscore.com/res/image/data/WUIDNjFa-xErFNzEn.png,3,0,Herrera D. (Arg),Estádio Antonio Accioly (Goiânia),12500.0,22574.0,09/08/2022,19:15,AMÉRICA DO SUL,COPA SUL-AMERICANA - PLAYOFFS - QUARTAS DE FINAL,
8pzT4Eqt,Melgar (Per),https://static.flashscore.com/res/image/data/fmdls5HG-AccabXmc.png,Internacional (Bra),https://static.flashscore.com/res/image/data/4EdoEoil-ALgHCh57.png,0,0,Matonte Cabrera A. M. (Uru),Estádio Monumental Virgen de Chapi (Arequipa),60370.0,,04/08/2022,19:15,AMÉRICA DO SUL,COPA SUL-AMERICANA - PLAYOFFS - QUARTAS DE FINAL,
dWyG68r0,São Paulo (Bra),https://static.flashscore.com/res/image/data/YgK3qNCa-UPn7aGHL.png,Ceará (Bra),https://static.flashscore.com/res/image/data/lO0NK6f5-d29WsioJ.png,1,0,,,,,03/08/2022,19:15,AMÉRICA DO SUL,COPA SUL-AMERICANA - PLAYOFFS - QUARTAS DE FINAL,
YBshIpQE,Dep. Tachira (Ven),https://static.flashscore.com/res/image/data/bcTCzcAr-OxmaT1W4.png,Ind. del Valle (Ecu),https://static.flashscore.com/res/image/data/t8nwTpe5-OnCKiY2r.png,0,1,Wilton Sampaio (Bra),Estadio Polideportivo de Pueblo Nuevo (San Cristóbal),38755.0,,02/08/2022,21:30,AMÉRICA DO SUL,COPA SUL-AMERICANA - PLAYOFFS - QUARTAS DE FINAL,
IoQO4nDC,Nacional (Uru),https://static.flashscore.com/res/image/data/WUIDNjFa-xErFNzEn.png,Atlético-GO (Bra),https://static.flashscore.com/res/image/data/WGHITlhl-8f6Hj6B0.png,0,1,,,,,02/08/2022,19:15,AMÉRICA DO SUL,COPA SUL-AMERICANA - PLAYOFFS - QUARTAS DE FINAL,
WzFTa4hM,Atlético-GO (Bra),https://static.flashscore.com/res/image/data/WGHITlhl-8f6Hj6B0.png,Olimpia Asuncion (Par),https://static.flashscore.com/res/image/data/fFjeTTwS-UPd1WAes.png,3,0,Roldan W. (Col),Estádio Antonio Accioly (Goiânia),12500.0,,07/07/2022,21:30,AMÉRICA DO SUL,COPA SUL-AMERICANA - PLAYOFFS - OITAVAS DE FINAL,5 - 3
pKhSezzi,São Paulo (Bra),https://static.flashscore.com/res/image/data/YgK3qNCa-UPn7aGHL.png,Universidad Católica (Chi),https://static.flashscore.com/res/image/data/OvyAhfyB-dAJb3Ws0.png,4,1,Herrera A. (Ven),Estádio do MorumBIS (São Paulo),77011.0,,07/07/2022,21:30,AMÉRICA DO SUL,COPA SUL-AMERICANA - PLAYOFFS - OITAVAS DE FINAL,
G42d1dCT,Lanús (Arg),https://static.flashscore.com/res/image/data/h4Xuyuf5-xQnxBzcF.png,Ind. del Valle (Ecu),https://static.flashscore.com/res/image/data/t8nwTpe5-OnCKiY2r.png,0,0,,,,,07/07/2022,19:15,AMÉRICA DO SUL,COPA SUL-AMERICANA - PLAYOFFS - OITAVAS DE FINAL,
YJVahMpd,Melgar (Per),https://static.flashscore.com/res/image/data/fmdls5HG-AccabXmc.png,Dep. Cali (Col),https://static.flashscore.com/res/image/data/O2O10jHG-IHPA1GDt.png,2,1,Tello F. (Arg),Estadio de la Universidad Nacional San Agustín (Arequipa),60370.0,,06/07/2022,21:30,AMÉRICA DO SUL,COPA SUL-AMERICANA - PLAYOFFS - OITAVAS DE FINAL,
S60afrGq,Santos (Bra),https://static.flashscore.com/res/image/data/rJGaKUhl-ALgHCh57.png,Dep. Tachira (Ven),https://static.flashscore.com/res/image/data/bcTCzcAr-OxmaT1W4.png,1,2,Ortega K. (Per),Vila Belmiro (Santos),16068.0,11081.0,06/07/2022,21:30,AMÉRICA DO SUL,COPA SUL-AMERICANA - PLAYOFFS - OITAVAS DE FINAL,2 - 4
0QNoGPx3,Ceará (Bra),https://static.flashscore.com/res/image/data/lO0NK6f5-d29WsioJ.png,The Strongest (Bol),https://static.flashscore.com/res/image/data/WG5SI1Yg-0rjUYb4J.png,3,0,,,,,06/07/2022,19:15,AMÉRICA DO SUL,COPA SUL-AMERICANA - PLAYOFFS - OITAVAS DE FINAL,
SrIC3ngc,Internacional (Bra),https://static.flashscore.com/res/image/data/4EdoEoil-ALgHCh57.png,Colo Colo (Chi),https://static.flashscore.com/res/image/data/CMCTeMxS-tnwDCzLD.png,4,1,,,,,05/07/2022,21:30,AMÉRICA DO SUL,COPA SUL-AMERICANA - PLAYOFFS - OITAVAS DE FINAL,
z9LK1QN9,Union Santa Fe (Arg),https://static.flashscore.com/res/image/data/YuZso7jl-jZm30d2F.png,Nacional (Uru),https://static.flashscore.com/res/image/data/WUIDNjFa-xErFNzEn.png,1,2,Maza P. (Chi),Estádio 15 de Abril (Santa Fe),27358.0,,05/07/2022,19:15,AMÉRICA DO SUL,COPA SUL-AMERICANA - PLAYOFFS - OITAVAS DE FINAL,
IXAP0pwG,Olimpia Asuncion (Par),https://static.flashscore.com/res/image/data/fFjeTTwS-UPd1WAes.png,Atlético-GO (Bra),https://static.flashscore.com/res/image/data/WGHITlhl-8f6Hj6B0.png,2,0,Maza P. (Chi),Estádio Manuel Ferreira (Assunção),20000.0,,30/06/2022,21:30,AMÉRICA DO SUL,COPA SUL-AMERICANA - PLAYOFFS - OITAVAS DE FINAL,
YqkOdGKp,Universidad Católica (Chi),https://static.flashscore.com/res/image/data/OvyAhfyB-dAJb3Ws0.png,São Paulo (Bra),https://static.flashscore.com/res/image/data/YgK3qNCa-UPn7aGHL.png,2,4,,,,,30/06/2022,21:30,AMÉRICA DO SUL,COPA SUL-AMERICANA - PLAYOFFS - OITAVAS DE FINAL,
xE3h2xcN,Ind. del Valle (Ecu),https://static.flashscore.com/res/image/data/t8nwTpe5-OnCKiY2r.png,Lanús (Arg),https://static.flashscore.com/res/image/data/h4Xuyuf5-xQnxBzcF.png,2,1,,,,,30/06/2022,19:15,AMÉRICA DO SUL,COPA SUL-AMERICANA - PLAYOFFS - OITAVAS DE FINAL,
fTWeg2Vk,Dep. Cali (Col),https://static.flashscore.com/res/image/data/O2O10jHG-IHPA1GDt.png,Melgar (Per),https://static.flashscore.com/res/image/data/fmdls5HG-AccabXmc.png,0,0,,,,,29/06/2022,21:30,AMÉRICA DO SUL,COPA SUL-AMERICANA - PLAYOFFS - OITAVAS DE FINAL,
QcEXbO7S,Dep. Tachira (Ven),https://static.flashscore.com/res/image/data/bcTCzcAr-OxmaT1W4.png,Santos (Bra),https://static.flashscore.com/res/image/data/rJGaKUhl-ALgHCh57.png,1,1,Vargas G. (Bol),Estadio Polideportivo de Pueblo Nuevo (San Cristóbal),38755.0,,29/06/2022,21:30,AMÉRICA DO SUL,COPA SUL-AMERICANA - PLAYOFFS - OITAVAS DE FINAL,
