id,homeTeam,homeTeamImage,awayTeam,awayTeamImage,scoreHome,scoreAway,referee,stadium,capacity,public,date,time,country,round,penaltis
zsLkfjIP,Bahia,https://static.flashscore.com/res/image/data/f5V5z1Cr-dKUmd286.png,Atlético-MG,https://static.flashscore.com/res/image/data/WbSJHDh5-pCk2vaSD.png,4,1,R. Abatti Abel (Bra),Casa de Apostas Arena Fonte Nova (Salvador),48902.0,28019.0,06/12/2023,21:30,BRASIL,SÉRIE A - RODADA 38,
O6HoeW2J,Coritiba,https://static.flashscore.com/res/image/data/xKm8lie5-8f6Hj6B0.png,Corinthians,https://static.flashscore.com/res/image/data/lY91WW9r-Sv3m8l2G.png,0,2,J. Pinheiro (Bra),Estádio Couto Pereira (Curitiba),40502.0,,06/12/2023,21:30,BRASIL,SÉRIE A - RODADA 38,
trh1mKqD,Cruzeiro,https://static.flashscore.com/res/image/data/lCWrxmg5-SjJmyx86.png,Palmeiras,https://static.flashscore.com/res/image/data/xCtpyPHG-ALgHCh57.png,1,1,Anderson Daronco (Bra),Mineirão (Belo Horizonte),61927.0,44190.0,06/12/2023,21:30,BRASIL,SÉRIE A - RODADA 38,
hM7HkAQt,Cuiabá,https://static.flashscore.com/res/image/data/COoi5ag5-6FedhD0P.png,Athletico-PR,https://static.flashscore.com/res/image/data/SdnmINcM-QaMaOfUh.png,3,0,,,,,06/12/2023,21:30,BRASIL,SÉRIE A - RODADA 38,
rTethrVs,Fluminense,https://static.flashscore.com/res/image/data/WlxJgSdM-WUfDDYk1.png,Grêmio,https://static.flashscore.com/res/image/data/QPdJscAr-tQsU6dGl.png,2,3,Raphael Claus (Bra),Maracanã (Rio de Janeiro),78838.0,43286.0,06/12/2023,21:30,BRASIL,SÉRIE A - RODADA 38,
KYj5nvaJ,Internacional,https://static.flashscore.com/res/image/data/4EdoEoil-ALgHCh57.png,Botafogo,https://static.flashscore.com/res/image/data/jBDSUABr-rJBthgZj.png,3,1,Flávio Rodrigues de Souza (Bra),Estádio José Pinheiro Borda (Porto Alegre),50600.0,27365.0,06/12/2023,21:30,BRASIL,SÉRIE A - RODADA 38,
YHlgktF0,Santos,https://static.flashscore.com/res/image/data/rJGaKUhl-ALgHCh57.png,Fortaleza,https://static.flashscore.com/res/image/data/ObufU2YA-8r8ETTNO.png,1,2,,,,,06/12/2023,21:30,BRASIL,SÉRIE A - RODADA 38,
jgaljMaf,São Paulo,https://static.flashscore.com/res/image/data/YgK3qNCa-UPn7aGHL.png,Flamengo,https://static.flashscore.com/res/image/data/ADvIaiZA-2R2JjDQC.png,1,0,Vieira C. (Bra),Estádio do MorumBIS (São Paulo),77011.0,36618.0,06/12/2023,21:30,BRASIL,SÉRIE A - RODADA 38,
xjepi2pl,Vasco,https://static.flashscore.com/res/image/data/d2irXNjl-bam8o1Nj.png,Red Bull Bragantino,https://static.flashscore.com/res/image/data/llnonZDa-UkMF8Udb.png,2,1,Wilton Sampaio (Bra),São Januário (Rio de Janeiro),21880.0,19729.0,06/12/2023,21:30,BRASIL,SÉRIE A - RODADA 38,
C8mcl0U6,Goiás,https://static.flashscore.com/res/image/data/xd3edbeM-G2OQQubE.png,América-MG,https://static.flashscore.com/res/image/data/Eut0HLfM-nHqWQgSo.png,1,0,Lacerda D. (Bra),Estádio da Serrinha (Goiânia),14450.0,1996.0,06/12/2023,19:00,BRASIL,SÉRIE A - RODADA 38,
