id,homeTeam,homeTeamImage,awayTeam,awayTeamImage,scoreHome,scoreAway,referee,stadium,capacity,public,date,time,country,round,penaltis
MHT3DZCr,São Paulo,https://static.flashscore.com/res/image/data/YgK3qNCa-UPn7aGHL.png,Flamengo,https://static.flashscore.com/res/image/data/ADvIaiZA-2R2JjDQC.png,1,1,Machado B. (Bra),Estádio do MorumBIS (São Paulo),77011.0,63077.0,24/09/2023,16:00,BRASIL,COPA DO BRASIL - FINAL,
K8sxIF4R,Flamengo,https://static.flashscore.com/res/image/data/ADvIaiZA-2R2JjDQC.png,São Paulo,https://static.flashscore.com/res/image/data/YgK3qNCa-UPn7aGHL.png,0,1,,,,,17/09/2023,16:00,BRASIL,COPA DO BRASIL - FINAL,
Kn0EYp8e,Flamengo,https://static.flashscore.com/res/image/data/ADvIaiZA-2R2JjDQC.png,Grêmio,https://static.flashscore.com/res/image/data/QPdJscAr-tQsU6dGl.png,1,0,Machado B. (Bra),Maracanã (Rio de Janeiro),78838.0,60112.0,16/08/2023,21:30,BRASIL,COPA DO BRASIL - SEMIFINAIS,
neHVHfSS,São Paulo,https://static.flashscore.com/res/image/data/YgK3qNCa-UPn7aGHL.png,Corinthians,https://static.flashscore.com/res/image/data/lY91WW9r-Sv3m8l2G.png,2,0,Raphael Claus (Bra),Estádio do MorumBIS (São Paulo),77011.0,62093.0,16/08/2023,19:30,BRASIL,COPA DO BRASIL - SEMIFINAIS,
td1AZQhk,Grêmio,https://static.flashscore.com/res/image/data/QPdJscAr-tQsU6dGl.png,Flamengo,https://static.flashscore.com/res/image/data/ADvIaiZA-2R2JjDQC.png,0,2,Raphael Claus (Bra),Arena do Grêmio (Porto Alegre),60540.0,50128.0,26/07/2023,21:30,BRASIL,COPA DO BRASIL - SEMIFINAIS,
hYHRIzDM,Corinthians,https://static.flashscore.com/res/image/data/lY91WW9r-Sv3m8l2G.png,São Paulo,https://static.flashscore.com/res/image/data/YgK3qNCa-UPn7aGHL.png,2,1,Wilton Sampaio (Bra),Neo Química Arena (São Paulo),49205.0,46517.0,25/07/2023,21:30,BRASIL,COPA DO BRASIL - SEMIFINAIS,
KxmR27U7,Corinthians,https://static.flashscore.com/res/image/data/lY91WW9r-Sv3m8l2G.png,América-MG,https://static.flashscore.com/res/image/data/Eut0HLfM-nHqWQgSo.png,4,2,R. Abatti Abel (Bra),Neo Química Arena (São Paulo),49205.0,44655.0,15/07/2023,16:30,BRASIL,COPA DO BRASIL - QUARTAS DE FINAL,3 - 1
nPlJ4Tae,Palmeiras,https://static.flashscore.com/res/image/data/xCtpyPHG-ALgHCh57.png,São Paulo,https://static.flashscore.com/res/image/data/YgK3qNCa-UPn7aGHL.png,1,2,,Allianz Parque (São Paulo),43713.0,41451.0,13/07/2023,20:00,BRASIL,COPA DO BRASIL - QUARTAS DE FINAL,
pW65QAME,Athletico-PR,https://static.flashscore.com/res/image/data/SdnmINcM-QaMaOfUh.png,Flamengo,https://static.flashscore.com/res/image/data/ADvIaiZA-2R2JjDQC.png,0,2,Machado B. (Bra),Ligga Arena (Curitiba),42372.0,37842.0,12/07/2023,21:30,BRASIL,COPA DO BRASIL - QUARTAS DE FINAL,
hdADOliR,Grêmio,https://static.flashscore.com/res/image/data/QPdJscAr-tQsU6dGl.png,Bahia,https://static.flashscore.com/res/image/data/f5V5z1Cr-dKUmd286.png,2,1,Wilton Sampaio (Bra),Arena do Grêmio (Porto Alegre),60540.0,35437.0,12/07/2023,19:00,BRASIL,COPA DO BRASIL - QUARTAS DE FINAL,4 - 3
tnlN3mF1,América-MG,https://static.flashscore.com/res/image/data/Eut0HLfM-nHqWQgSo.png,Corinthians,https://static.flashscore.com/res/image/data/lY91WW9r-Sv3m8l2G.png,1,0,Leandro Vuaden (Bra),Mineirão (Belo Horizonte),61927.0,7141.0,05/07/2023,21:30,BRASIL,COPA DO BRASIL - QUARTAS DE FINAL,
