id,homeTeam,homeTeamImage,awayTeam,awayTeamImage,scoreHome,scoreAway,referee,stadium,capacity,public,date,time,country,round,penaltis
lSeVesNp,América-MG,https://static.flashscore.com/res/image/data/Eut0HLfM-nHqWQgSo.png,Brusque,https://static.flashscore.com/res/image/data/4xrDsqil-Gjdd0gEp.png,3,0,Muniz dos Santos D. C. (Bra),Mineirão (Belo Horizonte),61927.0,928.0,24/11/2024,18:30,BRASIL,SÉRIE B - RODADA 38,
MDukGB8a,Goiás,https://static.flashscore.com/res/image/data/xd3edbeM-G2OQQubE.png,Novorizontino,https://static.flashscore.com/res/image/data/nuFzysBr-vFrLaFel.png,1,0,Labes T. (Bra),Estádio da Serrinha (Goiânia),14450.0,4936.0,24/11/2024,18:30,BRASIL,SÉRIE B - RODADA 38,
GzugFVN5,Guarani,https://static.flashscore.com/res/image/data/nVW3uzAr-bXbOazea.png,Ceará,https://static.flashscore.com/res/image/data/lO0NK6f5-d29WsioJ.png,0,0,P. C. Zanovelli (Bra),Estádio Brinco de Ouro (Campinas),29130.0,3340.0,24/11/2024,18:30,BRASIL,SÉRIE B - RODADA 38,
UwqcEkwC,Mirassol,https://static.flashscore.com/res/image/data/SUmYTyAr-xxPxlUp4.png,Chapecoense,https://static.flashscore.com/res/image/data/v9EKoUeM-ALatFnbP.png,1,0,,,,11202.0,24/11/2024,18:30,BRASIL,SÉRIE B - RODADA 38,
4ftUGraA,Sport,https://static.flashscore.com/res/image/data/O0aua6ZA-G2OQQubE.png,Santos,https://static.flashscore.com/res/image/data/rJGaKUhl-ALgHCh57.png,2,1,B. Arleu (Bra),Estádio Adelmar da Costa Carvalho (Recife),26418.0,22012.0,24/11/2024,18:30,BRASIL,SÉRIE B - RODADA 38,
GYmHJpFi,CRB,https://static.flashscore.com/res/image/data/QuqDEgh5-8z8OC8Ik.png,Operário,https://static.flashscore.com/res/image/data/IBwiT7Da-j1A6VkgC.png,1,1,José de Moraes (Bra),Estádio Rei Pelé (Maceió),19105.0,,24/11/2024,16:00,BRASIL,SÉRIE B - RODADA 38,
AXtQHOq4,Paysandu,https://static.flashscore.com/res/image/data/OY3H2Kf5-Ui9AU98I.png,Vila Nova,https://static.flashscore.com/res/image/data/GMMaJNh5-nRWjgPsO.png,2,1,L. Casagrande (Bra),Leonidas Sodre de Castro (Belem),16200.0,34894.0,24/11/2024,16:00,BRASIL,SÉRIE B - RODADA 38,
C2Y1D9hI,Ituano,https://static.flashscore.com/res/image/data/8xrvrrCa-GKJk5gu7.png,Amazonas,https://static.flashscore.com/res/image/data/AwwuFEYA-S2JgYHKO.png,0,1,Deretti C. (Bra),Estádio Novelli Júnior (Itu),18560.0,780.0,22/11/2024,21:30,BRASIL,SÉRIE B - RODADA 38,
xrkDKQao,Avaí,https://static.flashscore.com/res/image/data/tGpYsdYg-2LNvhL4k.png,Ponte Preta,https://static.flashscore.com/res/image/data/UVeNVSBr-4S2Tm4eJ.png,2,1,R. Junior (Bra),Ressacada (Florianópolis),17800.0,1105.0,22/11/2024,20:00,BRASIL,SÉRIE B - RODADA 38,
bcwMI4Uc,Coritiba,https://static.flashscore.com/res/image/data/xKm8lie5-8f6Hj6B0.png,Botafogo-SP,https://static.flashscore.com/res/image/data/lduff8Ca-jF5yTdXD.png,1,3,Pfleger J. (Bra),Estádio Couto Pereira (Curitiba),40502.0,5247.0,22/11/2024,19:00,BRASIL,SÉRIE B - RODADA 38,
rNtoHigg,Ceará,https://static.flashscore.com/res/image/data/lO0NK6f5-d29WsioJ.png,América-MG,https://static.flashscore.com/res/image/data/Eut0HLfM-nHqWQgSo.png,1,0,Anderson Daronco (Bra),Castelão (Fortaleza),60326.0,63908.0,18/11/2024,21:45,BRASIL,SÉRIE B - RODADA 37,
nyeDPXV6,Botafogo-SP,https://static.flashscore.com/res/image/data/lduff8Ca-jF5yTdXD.png,Avaí,https://static.flashscore.com/res/image/data/tGpYsdYg-2LNvhL4k.png,1,3,P. C. Zanovelli (Bra),Estádio Santa Cruz (Ribeirão Preto),29292.0,2208.0,18/11/2024,21:00,BRASIL,SÉRIE B - RODADA 37,
hxzEOZ0J,Chapecoense,https://static.flashscore.com/res/image/data/v9EKoUeM-ALatFnbP.png,Coritiba,https://static.flashscore.com/res/image/data/xKm8lie5-8f6Hj6B0.png,2,1,Lacerda D. (Bra),Arena Condá (Chapecó),20089.0,10851.0,17/11/2024,16:00,BRASIL,SÉRIE B - RODADA 37,
f1bLNB0J,Santos,https://static.flashscore.com/res/image/data/rJGaKUhl-ALgHCh57.png,CRB,https://static.flashscore.com/res/image/data/QuqDEgh5-8z8OC8Ik.png,0,2,R. Abatti Abel (Bra),Vila Belmiro (Santos),16068.0,15750.0,17/11/2024,16:00,BRASIL,SÉRIE B - RODADA 37,
6uvINgGP,Brusque,https://static.flashscore.com/res/image/data/4xrDsqil-Gjdd0gEp.png,Guarani,https://static.flashscore.com/res/image/data/nVW3uzAr-bXbOazea.png,2,1,Thiago Gomes (Bra),Augusto Bauer (Brusque),5000.0,778.0,17/11/2024,11:00,BRASIL,SÉRIE B - RODADA 37,
8pd9QDG0,Ponte Preta,https://static.flashscore.com/res/image/data/UVeNVSBr-4S2Tm4eJ.png,Sport,https://static.flashscore.com/res/image/data/O0aua6ZA-G2OQQubE.png,0,4,Klein R. (Bra),Moisés Lucarelli (Campinas),17728.0,4767.0,16/11/2024,21:30,BRASIL,SÉRIE B - RODADA 37,
QL64Rg1f,Vila Nova,https://static.flashscore.com/res/image/data/GMMaJNh5-nRWjgPsO.png,Ituano,https://static.flashscore.com/res/image/data/8xrvrrCa-GKJk5gu7.png,3,4,Wagner do Nascimento (Bra),Estádio Onésio Brasileiro Alvarenga (Goiânia),11788.0,2654.0,16/11/2024,21:00,BRASIL,SÉRIE B - RODADA 37,
2BPmIXwm,Amazonas,https://static.flashscore.com/res/image/data/AwwuFEYA-S2JgYHKO.png,Goiás,https://static.flashscore.com/res/image/data/xd3edbeM-G2OQQubE.png,0,4,Bauermann G. (Bra),Estádio Municipal Carlos Zamith (Manaus),6500.0,,16/11/2024,19:00,BRASIL,SÉRIE B - RODADA 37,
GAaHOioD,Novorizontino,https://static.flashscore.com/res/image/data/nuFzysBr-vFrLaFel.png,Paysandu,https://static.flashscore.com/res/image/data/OY3H2Kf5-Ui9AU98I.png,1,1,L. Torezin (Bra),Estádio Dr. Jorge Ismael de Biasi (Novo Horizonte),14096.0,6618.0,16/11/2024,17:00,BRASIL,SÉRIE B - RODADA 37,
OKQqJDOt,Operário,https://static.flashscore.com/res/image/data/IBwiT7Da-j1A6VkgC.png,Mirassol,https://static.flashscore.com/res/image/data/SUmYTyAr-xxPxlUp4.png,1,1,Sampaio S. (Bra),Estádio Germano Krüger (Ponta Grossa),10632.0,5713.0,15/11/2024,16:00,BRASIL,SÉRIE B - RODADA 37,
Q7RVCfn1,Botafogo-SP,https://static.flashscore.com/res/image/data/lduff8Ca-jF5yTdXD.png,Ceará,https://static.flashscore.com/res/image/data/lO0NK6f5-d29WsioJ.png,1,4,,Estádio Santa Cruz (Ribeirão Preto),29292.0,3592.0,12/11/2024,21:30,BRASIL,SÉRIE B - RODADA 36,
nHSRDzXf,Guarani,https://static.flashscore.com/res/image/data/nVW3uzAr-bXbOazea.png,Amazonas,https://static.flashscore.com/res/image/data/AwwuFEYA-S2JgYHKO.png,0,0,Policarpo Bento A. (Bra),Estádio Brinco de Ouro (Campinas),29130.0,2281.0,12/11/2024,21:00,BRASIL,SÉRIE B - RODADA 36,
MZKvBYGD,América-MG,https://static.flashscore.com/res/image/data/Eut0HLfM-nHqWQgSo.png,Ituano,https://static.flashscore.com/res/image/data/8xrvrrCa-GKJk5gu7.png,3,2,J. Pinheiro (Bra),Mineirão (Belo Horizonte),61927.0,796.0,12/11/2024,19:00,BRASIL,SÉRIE B - RODADA 36,
W42VXeOQ,Coritiba,https://static.flashscore.com/res/image/data/xKm8lie5-8f6Hj6B0.png,Santos,https://static.flashscore.com/res/image/data/rJGaKUhl-ALgHCh57.png,0,2,Bauermann G. (Bra),Estádio Couto Pereira (Curitiba),40502.0,14099.0,11/11/2024,21:00,BRASIL,SÉRIE B - RODADA 36,
YDlcTFWs,Paysandu,https://static.flashscore.com/res/image/data/OY3H2Kf5-Ui9AU98I.png,Brusque,https://static.flashscore.com/res/image/data/4xrDsqil-Gjdd0gEp.png,1,0,F. Fernandes de Lima (Bra),Leonidas Sodre de Castro (Belem),16200.0,13901.0,11/11/2024,21:00,BRASIL,SÉRIE B - RODADA 36,
viTNEGHl,Vila Nova,https://static.flashscore.com/res/image/data/GMMaJNh5-nRWjgPsO.png,Ponte Preta,https://static.flashscore.com/res/image/data/UVeNVSBr-4S2Tm4eJ.png,2,1,de Almeida Andrade E. R. (Bra),Estádio Onésio Brasileiro Alvarenga (Goiânia),11788.0,1649.0,11/11/2024,18:30,BRASIL,SÉRIE B - RODADA 36,
zw9MZHgE,Avaí,https://static.flashscore.com/res/image/data/tGpYsdYg-2LNvhL4k.png,Mirassol,https://static.flashscore.com/res/image/data/SUmYTyAr-xxPxlUp4.png,0,0,de Andrade D. (Bra),Ressacada (Florianópolis),17800.0,2201.0,10/11/2024,19:00,BRASIL,SÉRIE B - RODADA 36,
Szl1SZol,Sport,https://static.flashscore.com/res/image/data/O0aua6ZA-G2OQQubE.png,Chapecoense,https://static.flashscore.com/res/image/data/v9EKoUeM-ALatFnbP.png,1,1,A. Gomes Stefano (Bra),Estádio Adelmar da Costa Carvalho (Recife),26418.0,25291.0,10/11/2024,18:30,BRASIL,SÉRIE B - RODADA 36,
ET7QYy9K,CRB,https://static.flashscore.com/res/image/data/QuqDEgh5-8z8OC8Ik.png,Goiás,https://static.flashscore.com/res/image/data/xd3edbeM-G2OQQubE.png,0,1,Ferreira Y. (Bra),Estádio Rei Pelé (Maceió),19105.0,10723.0,09/11/2024,17:00,BRASIL,SÉRIE B - RODADA 36,
8WGzCE17,Novorizontino,https://static.flashscore.com/res/image/data/nuFzysBr-vFrLaFel.png,Operário,https://static.flashscore.com/res/image/data/IBwiT7Da-j1A6VkgC.png,0,1,Serafim D. (Bra),Estádio Dr. Jorge Ismael de Biasi (Novo Horizonte),14096.0,5517.0,09/11/2024,17:00,BRASIL,SÉRIE B - RODADA 36,
bX7l0H2e,Mirassol,https://static.flashscore.com/res/image/data/SUmYTyAr-xxPxlUp4.png,Coritiba,https://static.flashscore.com/res/image/data/xKm8lie5-8f6Hj6B0.png,4,1,Serafim D. (Bra),Estádio José Maria de Campos Maia (Mirassol),15000.0,3539.0,05/11/2024,21:30,BRASIL,SÉRIE B - RODADA 35,
nglqMbPE,Brusque,https://static.flashscore.com/res/image/data/4xrDsqil-Gjdd0gEp.png,Botafogo-SP,https://static.flashscore.com/res/image/data/lduff8Ca-jF5yTdXD.png,0,1,Wagner do Nascimento (Bra),Augusto Bauer (Brusque),5000.0,1340.0,05/11/2024,21:00,BRASIL,SÉRIE B - RODADA 35,
fJiiKxfR,Amazonas,https://static.flashscore.com/res/image/data/AwwuFEYA-S2JgYHKO.png,América-MG,https://static.flashscore.com/res/image/data/Eut0HLfM-nHqWQgSo.png,1,0,Lacerda D. (Bra),Estádio Municipal Carlos Zamith (Manaus),6500.0,1031.0,05/11/2024,19:00,BRASIL,SÉRIE B - RODADA 35,
